timestamp,Th_ENB1,Delay_ENB1,Loss_ENB1,UE_ENB1,RSRP_ENB1,SINR_ENB1,Load_ENB1,Th_ENB2,Delay_ENB2,Loss_ENB2,UE_ENB2,RSRP_ENB2,SINR_ENB2,Load_ENB2,Th_ENB3,Delay_ENB3,Loss_ENB3,UE_ENB3,RSRP_ENB3,SINR_ENB3,Load_ENB3,Th_ENB4,Delay_ENB4,Loss_ENB4,UE_ENB4,RSRP_ENB4,SINR_ENB4,Load_ENB4,Th_ENB5,Delay_ENB5,Loss_ENB5,UE_ENB5,RSRP_ENB5,SINR_ENB5,Load_ENB5,Th_ENB6,Delay_ENB6,Loss_ENB6,UE_ENB6,RSRP_ENB6,SINR_ENB6,Load_ENB6
1,149.864,24.9165,0.00511185,298.558,-90.1247,29.9599,0.649561,160.57,26.8799,0.00751423,320.37,-88.2721,30,0.676705,154.13,26.1796,0.00646563,311.234,-92.1172,27.8793,0.621842,157.88,27.8488,0.00899518,328.138,-86.7544,30,0.701625,151.623,25.008,0.00554671,288.739,-90.7182,26.0825,0.604395,156.79,27.0392,0.00742187,308.354,-89.1824,29.8636,0.668253
2,149.777,24.9085,0.00532874,299.427,-90.1314,30,0.646409,160.604,26.8298,0.00798689,321.089,-88.1808,30,0.683155,155.414,26.0916,0.00627127,308.296,-92.0849,27.8848,0.623631,158.247,27.9324,0.00856356,329.244,-87.1049,30,0.701376,152.774,24.9889,0.00511959,290.853,-90.8435,26.0184,0.60271,155.988,27.0091,0.00692754,308.102,-89.2353,29.8594,0.671364
3,149.629,25.0034,0.00540757,298.997,-90.0538,30,0.647288,159.154,26.9159,0.00716122,321.719,-87.8151,30,0.683715,155.607,25.8746,0.00639256,310.157,-91.8155,28.1188,0.61818,157.22,27.8912,0.00892711,331.272,-86.7836,30,0.700107,151.835,24.8888,0.00511987,289.35,-90.7343,25.947,0.600188,156.406,26.9455,0.00747178,311.85,-89.1489,29.9992,0.668009
4,149.57,24.8148,0.00510956,300.011,-90.2691,29.9336,0.654083,159.479,26.858,0.00748945,321.943,-88.1548,30,0.682616,154.475,26.0913,0.00586778,310.529,-91.9199,28.0107,0.615903,158.671,27.9283,0.00868652,328.163,-86.9455,30,0.695166,152.024,24.8906,0.00564517,288.697,-90.8854,25.966,0.604367,155.275,26.9364,0.00661347,311.699,-88.7736,29.9274,0.6716
5,150.634,25.0221,0.00502965,298.967,-90.2441,30,0.654004,160.266,26.9356,0.00734921,320.904,-87.7617,30,0.682799,155.284,25.8337,0.00566163,311.594,-91.9361,27.8528,0.616015,158.327,27.802,0.00866081,330.195,-86.8849,30,0.697243,152.424,24.8949,0.0053254,290.986,-90.9102,26.1048,0.601576,156.137,26.8375,0.00686772,309.061,-89.1536,30,0.668931
6,150.784,25.0525,0.00529481,300.011,-89.9539,29.9978,0.646952,160.445,26.9123,0.00702432,320.582,-88.1937,30,0.684539,155.83,25.9481,0.00551546,311.713,-92.0431,28.14,0.624636,158.706,27.9178,0.0088851,331.405,-87.1098,30,0.700568,152.872,25.0784,0.00557006,288.389,-90.931,26.147,0.596401,156.037,27.1509,0.00724077,310.788,-88.8785,29.9578,0.667936
7,150.619,25.124,0.00536707,301.653,-89.9932,30,0.652983,160.3,27.0808,0.00779579,321.56,-88.0972,30,0.67594,155.157,25.8144,0.0059656,310.171,-92.1281,28.0272,0.615305,157.075,28.129,0.00886019,328.508,-86.9867,30,0.697158,152.246,24.8341,0.00505168,290.125,-90.9756,26.0412,0.602261,156.952,27.0065,0.00682296,311.181,-89.1375,29.9817,0.665785
8,149.051,25.1851,0.00533598,300.784,-90.0546,29.902,0.646564,159.5,27.0197,0.0077146,320.641,-88.132,30,0.682379,155.109,26.0447,0.0059196,308.991,-92.0864,28.0774,0.615144,157.232,27.8184,0.00854073,331.422,-86.8778,30,0.695978,151.983,24.9894,0.0051732,289.735,-91.0609,26.0348,0.601351,155.091,26.9498,0.00712586,310.013,-88.7861,30,0.666629
9,149.141,25.057,0.00452651,300.343,-89.7359,30,0.648882,160.287,26.9833,0.00754562,321.766,-88.0683,30,0.684054,154.392,25.8277,0.00560078,308.073,-92.2433,28.0549,0.615712,157.638,28.138,0.00852327,331.258,-87.1309,30,0.701967,152.258,25.151,0.00573507,291.214,-91.1308,25.9032,0.602506,156.614,27.1962,0.00691262,309.488,-88.8342,29.9522,0.674308
10,150.717,24.9716,0.00525087,301.018,-90.2381,30,0.650053,160.653,26.928,0.00789552,319.557,-88.2935,30,0.675913,154.639,26.18,0.00645061,310.294,-91.9209,27.9845,0.617932,157.657,28.069,0.00925237,331.166,-86.8262,30,0.699944,151.115,25.0198,0.00544153,291.551,-91.0895,25.8851,0.59643,156.523,27.0473,0.00660112,308.336,-88.8794,29.8718,0.673219
11,150.412,24.8325,0.00458484,301.947,-90.0754,29.9612,0.653128,160.894,27.1944,0.00775338,319.505,-88.2499,30,0.680584,154.848,26.1625,0.0056112,309.971,-92.2932,27.9906,0.615563,157.238,27.847,0.00914921,330.984,-86.95,30,0.698749,151.571,25.1474,0.0052236,291.853,-91.2927,26.141,0.595432,156.782,27.0111,0.00749296,308.295,-88.9677,30,0.670231
12,150.259,25.0783,0.00495454,300.51,-89.9494,30,0.645454,159.562,27.1802,0.00789026,319.823,-87.9279,30,0.676881,154.927,25.9413,0.00608366,308.311,-91.7154,28.1459,0.621982,158.072,27.9238,0.0093138,330.739,-87.2024,30,0.703225,152.9,25.0903,0.00561342,289.673,-90.7404,26.1098,0.595452,155.053,26.9506,0.00731055,311.949,-89.2097,30,0.668809
13,150.94,25.1368,0.00533833,299.875,-90.0511,29.932,0.645564,160.729,27.1252,0.00799972,321.987,-87.9667,30,0.684448,155.699,25.8989,0.00595054,308.517,-91.7276,28.0319,0.617286,158.343,28.0473,0.00885816,328.454,-86.8971,30,0.702723,152.04,25.1409,0.00555191,290.244,-90.774,25.971,0.59634,155.058,27.1021,0.00712031,310.816,-89.1722,29.8909,0.665145
14,149.701,25.036,0.00489224,299.75,-89.7575,29.9545,0.65014,160.567,26.9586,0.00762209,321.449,-87.7303,30,0.684266,154.984,25.9033,0.00595914,311.92,-92.0044,27.9486,0.621334,157.48,27.8303,0.00862888,328.512,-87.2089,30,0.701409,151.364,24.9383,0.00589679,289.896,-90.8995,25.9017,0.596923,155.082,26.8676,0.00677859,308.708,-89.2468,29.8862,0.669608
15,149.413,24.9457,0.00500342,300.762,-90.2764,30,0.651279,159.164,27.1494,0.00792087,318.244,-88.1339,30,0.682483,154.369,25.8837,0.00587047,309.938,-91.929,27.9607,0.619625,158.495,27.8147,0.00875244,330.853,-86.7629,30,0.700321,151.214,24.979,0.00553262,288.97,-91.1385,25.9632,0.595201,155.644,26.8846,0.0068275,308.479,-88.7657,30,0.671791
16,150.578,24.9994,0.00458692,300.148,-89.9479,30,0.649317,159.255,26.9135,0.00736308,320.584,-87.9575,30,0.684865,155.212,25.8949,0.00560178,308.611,-92.1524,27.8982,0.616866,157.57,27.8693,0.00939677,328.321,-86.9853,30,0.704824,151.224,24.9591,0.00596947,291.462,-90.8098,25.9274,0.596709,156.337,27.1718,0.00705676,310.286,-89.132,30,0.66687
17,149.647,24.9702,0.00500761,298.97,-90.2311,30,0.647886,160.162,26.8617,0.00748114,320.13,-88.2689,30,0.676344,154.127,26.196,0.00582235,311.239,-92.1472,28.0545,0.622602,158.191,27.9886,0.00891184,329.395,-86.7423,30,0.70465,151.249,25.0923,0.00593834,288.725,-91.2601,26.0723,0.600745,156.684,26.8559,0.00729527,308.807,-89.2018,29.8993,0.673146
18,150.33,25.0092,0.00485883,301.509,-90.0645,30,0.649391,159.754,26.9851,0.00730138,320.99,-87.9984,30,0.683996,154.768,26.0174,0.00640647,310.497,-92.2299,28.1319,0.621277,157.67,27.8557,0.00929403,330.48,-86.9799,30,0.702886,151.303,24.9247,0.00524849,290.976,-91.2799,26.021,0.602625,156.754,26.9368,0.00732126,308.443,-88.7921,29.8882,0.668973
19,150.595,24.86,0.00472925,300.889,-89.868,30,0.651939,160.085,26.9007,0.0073457,318.726,-87.7549,30,0.679009,154.924,26.1789,0.00565335,310.345,-91.9965,28.0334,0.615181,158.744,28.1728,0.00906513,330.787,-86.7465,30,0.696525,152.153,25.0427,0.00542413,290.946,-90.7394,26.1277,0.599508,155.226,27.1939,0.0073389,308.499,-88.7475,30,0.670188
20,150.183,24.9596,0.00455476,299.341,-89.8183,29.8514,0.648335,159.796,27.015,0.00791986,319.385,-88.0918,30,0.679522,154.449,25.981,0.00564086,308.706,-92.001,27.9757,0.624148,157.725,28.0322,0.00913226,328.052,-86.9019,30,0.704611,151.297,24.9658,0.00508535,291.987,-90.9987,26.0286,0.595671,156.5,26.884,0.00739805,308.821,-89.1856,29.861,0.669721
21,150.13,24.8263,0.00527553,299.813,-89.9854,29.9822,0.649008,160.119,26.8621,0.00718193,321.447,-87.7323,30,0.677707,155.288,25.9635,0.00552539,308.625,-91.8704,28.0477,0.615271,157.444,27.8924,0.00917189,328.079,-87.2375,30,0.696785,152.305,24.8953,0.00509944,288.973,-90.8666,26.1067,0.603302,155.794,27.0672,0.00670498,309.173,-88.7622,29.8539,0.665855
22,149.416,24.8106,0.00468144,300.332,-90.0471,30,0.653174,159.684,26.9038,0.00737969,320.361,-88.1392,30,0.679094,155.104,25.9745,0.00579447,311.794,-91.8418,27.892,0.623685,157.975,28.1578,0.00929986,329.701,-87.2865,30,0.700416,152.267,24.9032,0.00513936,291.34,-90.7094,26.0077,0.596717,155.545,26.8074,0.0074143,308.471,-88.9541,29.9322,0.670542
23,150.303,25.1319,0.00470642,298.044,-90.2179,30,0.653739,160.195,27.0402,0.00766504,318.701,-87.7514,30,0.678831,155.038,25.8188,0.00566628,310.952,-92.2503,28.0309,0.617453,157.779,27.9155,0.00885567,330.876,-87.1217,30,0.699761,152.327,25.1747,0.00573257,288.86,-91.2813,25.9287,0.600951,155.103,26.9985,0.00709684,309.337,-88.8375,29.882,0.665751
24,150.456,24.9982,0.0051884,299.739,-90.1522,30,0.652994,160.389,26.9089,0.00759023,319.444,-88.2451,30,0.676368,155.9,25.9784,0.00568513,310.168,-91.7762,28.0697,0.623066,158.318,28.0769,0.0093492,328.999,-87.0063,30,0.704877,152.888,24.8158,0.00570558,291.701,-91.1917,26.0204,0.604155,155.068,27.079,0.00679735,311.698,-88.7174,30,0.669742
25,150.724,25.1378,0.0048191,301.316,-90.2778,30,0.6473,159.241,26.8308,0.00769629,319.359,-87.8651,30,0.678153,155.079,26.1163,0.00581875,310.504,-91.7684,28.0348,0.61733,157.049,28.148,0.00852127,331.499,-86.9826,30,0.702988,152.996,24.9403,0.00576719,289.608,-91.0121,26.0383,0.603737,156.968,27.1073,0.00691777,309.685,-88.8575,29.9216,0.666105
26,149.709,24.9149,0.00479631,298.934,-90.2747,29.8554,0.654877,159.856,26.9537,0.00767965,318.873,-87.73,30,0.675894,154.835,26.1516,0.00644473,309.87,-91.932,27.9001,0.624912,157.463,28.1771,0.00914965,330.431,-86.9924,30,0.696765,151.441,24.8746,0.00577958,289.401,-91.2653,26.1407,0.603838,156.856,27.198,0.0066739,309.585,-88.8451,30,0.666539
27,150.632,24.8898,0.00472382,300.148,-89.9442,30,0.645915,160.755,26.9062,0.00712951,321.555,-87.7266,30,0.683095,155.31,26.0203,0.00558699,309.634,-92.0764,27.9279,0.622234,157.992,27.8324,0.00872018,330.733,-87.2543,30,0.699951,151.961,25.037,0.00582468,289.391,-90.8932,26.0197,0.59767,156.757,27.119,0.00715845,311.402,-88.7796,30,0.67337
28,150.395,25.0721,0.00511861,301.011,-90.2048,30,0.653718,159.058,27.1303,0.00712887,319.34,-87.8539,30,0.68318,155.664,26.003,0.00550639,309.148,-91.9298,28.1444,0.621318,157.52,28.0536,0.00903999,331.119,-87.2358,30,0.700413,152.926,24.9367,0.00563262,291.728,-91.2385,26.1312,0.601879,155.136,26.9204,0.00720817,308.269,-88.9507,29.9538,0.671209
29,149.091,25.1486,0.00547349,301.876,-89.8502,29.889,0.652583,159.049,26.8088,0.00732361,319.955,-87.8378,30,0.679459,154.547,26.1988,0.00592618,309.806,-92.2018,28.0884,0.621937,157.442,27.833,0.0091805,330.618,-87.136,30,0.696511,151.865,25.1774,0.00541973,290.554,-91.0614,25.9323,0.60484,155.819,27.1576,0.00672995,308.852,-89.2813,30,0.668685
30,150.729,24.9893,0.00546819,298.742,-89.7788,30,0.652709,160.69,27.1044,0.00762622,318.525,-88.2805,30,0.681167,155.593,25.9926,0.00561731,308.501,-91.8887,27.9791,0.617005,157.983,27.8257,0.00908197,329.076,-86.8215,30,0.699552,151.023,24.829,0.00539249,289.92,-90.94,25.9375,0.60195,156.72,27.1119,0.00653962,309.922,-89.237,29.9226,0.674867
31,149.285,24.9996,0.00511816,300.81,-89.9642,29.8529,0.648265,160.035,26.8351,0.00735063,318.133,-88.2529,30,0.676327,155.135,26.0758,0.00630059,308.801,-92.1995,27.8814,0.621364,158.413,27.8126,0.00943621,328.208,-86.9752,30,0.70371,152.428,25.1207,0.00533945,291.259,-91.2519,26.1184,0.600476,156.635,26.9809,0.00714358,310.106,-88.861,29.8745,0.665604
