Time,Th_ENB1,Delay_ENB1,Loss_ENB1,UE_ENB1,RSRP_ENB1,SINR_ENB1,Load_ENB1,Handover_ENB1,Th_ENB2,Delay_ENB2,Loss_ENB2,UE_ENB2,RSRP_ENB2,SINR_ENB2,Load_ENB2,Handover_ENB2,Th_ENB3,Delay_ENB3,Loss_ENB3,UE_ENB3,RSRP_ENB3,SINR_ENB3,Load_ENB3,Handover_ENB3,Th_ENB4,Delay_ENB4,Loss_ENB4,UE_ENB4,RSRP_ENB4,SINR_ENB4,Load_ENB4,Handover_ENB4,Th_ENB5,Delay_ENB5,Loss_ENB5,UE_ENB5,RSRP_ENB5,SINR_ENB5,Load_ENB5,Handover_ENB5,Th_ENB6,Delay_ENB6,Loss_ENB6,UE_ENB6,RSRP_ENB6,SINR_ENB6,Load_ENB6,Handover_ENB6
1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,2.14608,64.1813,15.0,3,-48.7782,51.2218,0.06,0,1.75053,121.882,30.6667,3,-46.9937,53.0063,0.06,0,2.79411,142.933,33.6,5,-51.9067,48.0933,0.1,0,2.40698,377.702,79.5714,14,-57.8165,42.1835,0.28,0,2.77728,465.09,87.3077,26,-54.2507,45.7493,0.52,0,3.18125,449.447,86.9655,29,-56.1978,43.8022,0.58,0
3,2.12083,68.5723,15.5,3,-49.3569,50.6431,0.06,0,1.80944,131.441,29.5,3,-47.7212,52.2788,0.06,0,2.86144,166.682,32.8,5,-52.0081,47.9919,0.1,0,2.4743,563.688,79.2857,14,-57.9426,42.0574,0.28,0,2.91194,749.122,87.0,26,-54.0694,45.9306,0.52,0,3.35798,769.42,86.6034,29,-56.0695,43.9305,0.58,0
4,2.01984,75.8118,17.0,3,-49.913,50.087,0.06,0,1.85994,132.926,28.4444,3,-48.3953,51.6047,0.06,0,2.83619,187.424,32.7333,5,-52.1093,47.8907,0.1,0,2.33965,651.182,79.5714,14,-58.0879,41.9121,0.28,0,2.8951,935.643,86.9231,26,-53.8879,46.1121,0.52,0,3.3664,928.039,86.4713,29,-56.0129,43.9871,0.58,0
5,1.83469,81.3825,19.5833,3,-50.4492,49.5508,0.06,0,1.86835,129.514,27.8333,3,-49.0294,50.9706,0.06,0,2.81094,195.446,32.85,5,-52.2096,47.7904,0.1,0,2.3649,708.65,79.6607,14,-58.2484,41.7516,0.28,0,3.03818,1048.64,86.7212,26,-53.7149,46.2851,0.52,0,3.28224,1015.24,86.4914,29,-55.9776,44.0224,0.58,0
6,1.8936,87.9148,20.6667,3,-50.9678,49.0322,0.06,0,1.85152,129.815,27.6,3,-49.6329,50.3671,0.06,0,2.8951,196.69,32.52,5,-52.3083,47.6917,0.1,0,2.28074,734.11,79.8571,14,-58.4195,41.5805,0.28,0,3.08026,1100.9,86.5615,26,-53.5699,46.4301,0.52,0,3.29066,1062.75,86.4966,29,-55.9344,44.0656,0.58,0
7,1.8431,92.7593,21.7222,3,-51.4706,48.5294,0.06,0,1.81786,132.647,27.6667,3,-50.2124,49.7876,0.06,0,2.92035,193.97,32.2,5,-52.4048,47.5952,0.1,0,2.12925,763.164,80.2024,14,-58.5968,41.4032,0.28,0,3.16442,1145.07,86.391,26,-53.479,46.521,0.52,0,3.24858,1097.42,86.5287,29,-55.872,44.128,0.58,0
8,1.75053,95.6361,23.0,3,-51.9592,48.0408,0.06,0,1.77578,134.38,27.9524,3,-50.7724,49.2276,0.06,0,2.92877,192.016,31.9429,5,-52.4987,47.5013,0.1,0,2.12083,789.684,80.4592,14,-58.7765,41.2235,0.28,0,3.34115,1182.38,86.1538,26,-53.4498,46.5502,0.52,0,3.39165,1090.04,86.0051,28,-55.5528,44.4472,0.56,0
9,1.67478,96.136,24.3333,3,-52.4348,47.5652,0.06,0,1.75894,485.315,46.0625,4,-53.527,46.473,0.08,1,2.92877,90.8947,15.9062,4,-50.4652,49.5348,0.08,0,1.98618,800.432,80.7946,14,-58.9556,41.0444,0.28,0,3.32432,1191.49,85.9856,26,-53.4603,46.5397,0.52,0,3.48422,1115.51,85.9062,28,-55.4031,44.5969,0.56,0
10,1.6832,96.507,25.3333,3,-52.8986,47.1014,0.06,0,1.80944,393.078,46.0833,4,-53.7832,46.2168,0.08,0,2.81094,90.5105,15.9722,4,-50.465,49.535,0.08,0,1.97776,809.061,81.0635,14,-59.1321,40.8679,0.28,0,3.23174,1196.44,85.9017,26,-53.4819,46.5181,0.52,0,3.5263,1110.61,86.1494,29,-55.0966,44.9034,0.58,1
11,1.69162,96.8077,26.1,3,-53.3514,46.6486,0.06,0,1.83469,343.627,46.025,4,-54.0256,45.9744,0.08,0,2.63421,90.9892,16.55,4,-50.462,49.538,0.08,0,1.92726,817.048,81.3214,14,-59.2841,40.7159,0.28,0,3.14758,1195.35,85.8731,26,-53.4959,46.5041,0.52,0,3.67779,1127.33,86.0276,29,-54.7081,45.2919,0.58,0
12,1.65795,19.3761,0.272727,2,-49.8105,50.1895,0.04,0,1.78419,324.767,46.1136,4,-54.255,45.745,0.08,0,2.55846,91.8782,17.2273,4,-50.4557,49.5443,0.08,0,1.91885,784.741,81.4364,15,-59.2637,40.7363,0.3,1,3.24858,1191.24,85.8077,26,-53.4923,46.5077,0.52,0,3.56838,1141.4,85.9687,29,-53.9114,46.0886,0.58,0
13,1.69162,20.1794,0.208333,2,-50.2513,49.7487,0.04,0,1.83469,289.432,46.0625,4,-54.4717,45.5283,0.08,0,2.55846,92.6706,17.7917,4,-50.4455,49.5545,0.08,0,1.9441,784.933,81.7,15,-59.3974,40.6026,0.3,0,3.44214,1179.74,85.6795,26,-53.4425,46.5575,0.52,0,3.71146,1153.2,85.8707,29,-54.442,45.558,0.58,0
14,1.64954,21.7679,0.346154,2,-50.6831,49.3169,0.04,0,1.70845,259.094,46.3077,4,-54.676,45.324,0.08,0,2.55005,93.3812,18.2885,4,-50.431,49.569,0.08,0,1.99459,780.125,81.8923,15,-59.5355,40.4645,0.3,0,3.46739,1165.93,85.5621,26,-53.3541,46.6459,0.52,0,3.9471,1159.73,85.7135,29,-54.7905,45.2095,0.58,0
15,1.55696,23.416,0.857143,2,-51.546,48.454,0.04,0,1.53171,249.213,46.8929,4,-52.8277,47.1723,0.08,0,2.55846,94.0483,18.6964,4,-49.1984,50.8016,0.08,0,1.90202,733.769,81.0663,14,-59.7167,40.2833,0.28,0,3.49264,1158.9,85.8704,27,-53.5781,46.4219,0.54,1,3.97235,1157.8,85.5714,29,-54.8989,45.1011,0.58,0
16,0.908928,23.7479,3.86667,2,-51.546,48.454,0.04,0,2.27232,243.154,45.9333,4,-52.8277,47.1723,0.08,0,2.76045,94.4377,18.65,4,-49.1984,50.8016,0.08,0,2.03667,690.652,80.0872,13,-59.6007,40.3993,0.26,0,3.58522,1169.23,85.7605,27,-53.5781,46.4219,0.54,0,3.55997,1165.02,85.5609,29,-54.8989,45.1011,0.58,0
17,0.8416,23.8298,6.75,2,-52.4979,47.5021,0.04,0,2.06192,242.513,45.4844,4,-53.1734,46.8266,0.08,0,2.7352,94.9105,18.6562,4,-49.3452,50.6548,0.08,0,2.104,682.948,80.1298,13,-59.6238,40.3762,0.26,0,3.40848,1226.99,86.5237,29,-53.7503,46.2497,0.58,2,3.63571,1063.61,85.0402,28,-54.4072,45.5928,0.56,0
18,0.824768,24.0512,9.35294,2,-53.3918,46.6082,0.04,0,2.01142,242.765,45.1765,4,-53.5227,46.4773,0.08,0,2.6847,95.4107,18.75,4,-49.4841,50.5159,0.08,0,2.23024,671.28,79.1765,12,-59.448,40.552,0.24,0,3.37482,1188.54,86.3671,29,-53.1736,46.8264,0.58,1,3.70304,1071.99,85.3448,29,-54.2137,45.7863,0.58,1
19,0.858432,24.2772,11.5556,2,-54.2352,45.7648,0.04,0,1.93568,242.806,45.0278,4,-53.8748,46.1252,0.08,0,2.65104,95.8487,18.8889,4,-49.6301,50.3699,0.08,0,2.21341,662.185,79.1157,12,-59.4734,40.5266,0.24,0,3.3664,1184.06,86.3582,29,-53.0278,46.9722,0.58,0,3.7367,1076.29,85.3084,29,-53.881,46.119,0.58,0
20,0.8416,24.5213,13.5789,2,-55.0342,44.9658,0.04,0,2.07875,240.986,44.6711,4,-54.2289,45.7711,0.08,0,2.53322,96.3188,19.1974,4,-49.7972,50.2028,0.08,0,2.18816,655.564,79.0746,12,-59.5128,40.4872,0.24,0,3.45898,1193.19,86.3303,29,-52.9089,47.0911,0.58,0,3.93869,1082.31,85.2323,29,-53.5168,46.4832,0.58,0
21,0.824768,17.4512,0.15,1,-49.3017,50.6983,0.02,0,0.0,240.986,47.4375,4,-54.5843,45.4157,0.08,0,2.77728,96.9371,19.1125,4,-49.9981,50.0019,0.08,0,2.39856,561.887,73.625,12,-58.9918,41.0082,0.24,1,3.68621,1185.32,86.5317,30,-53.126,46.874,0.6,1,4.39315,1088.19,85.0707,29,-53.1055,46.8945,0.58,0
22,0.8416,18.3357,0.142857,1,-50.2818,49.7182,0.02,0,0.0,240.986,49.9405,4,-54.9403,45.0597,0.08,0,2.70154,97.3002,19.1429,4,-50.2418,49.7582,0.08,0,2.42381,555.403,73.7381,12,-59.0491,40.9509,0.24,0,3.80403,1173.47,86.4556,30,-53.1186,46.8814,0.6,0,4.4689,1088.91,84.9097,29,-52.6029,47.3971,0.58,0
